fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,change_type,status,project,assigned_to,latitude,longitude,geometry,changeset_id,location,date,processor,processor_other,survey_comments,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
291b2139-9be1-4bd5-ba23-e3ef24b4a0b5,2022-06-08 12:43:48 EDT,2022-06-08 12:47:13 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-08 18:24:08 EDT,2022-06-08 18:24:08 EDT,1,create,,,,41.62181751689406,-80.45458132384428,POINT (-80.45458132384428 41.62181751689406),9e2a28e7-55a3-4e56-aedc-0fd432c82fc9,,,,,,316.6429138183594,16.78641601269288,13.334174156188965,-1.0,-1.0
0e6540d6-c4a0-4165-90b7-21787eb32f0c,2022-06-08 16:35:56 EDT,2022-06-08 18:55:19 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-08 18:55:48 EDT,2022-06-08 18:55:48 EDT,1,create,,,,41.6428732,-80.4275306,POINT (-80.4275306 41.6428732),72e21813-4a86-4369-a2b6-58df02492e86,RV Pond,2022-06-07,Brandon Hoenig,,,284.5,13.787,,,90.0
0e6540d6-c4a0-4165-90b7-21787eb32f0c,2022-06-08 16:35:56 EDT,2022-06-08 22:37:18 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-08 18:55:48 EDT,2022-06-09 11:31:01 EDT,2,update,,,,41.6428732,-80.4275306,POINT (-80.4275306 41.6428732),bbef31b4-ed27-4130-a4d1-1844f2c0559a,RV Pond,2022-06-07,Brandon Hoenig,,App crashed and data was lost. Remaining data is validated. Some bd swabs are lost to unknown Metadata. ,284.5,13.787,,,90.0
bbc29661-86df-4567-9f26-1e6c9314eeac,2022-06-08 22:05:44 EDT,2022-06-09 10:31:21 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-09 11:31:02 EDT,2022-06-09 11:31:02 EDT,1,create,,,,41.6914097,-80.4993114,POINT (-80.4993114 41.6914097),bbef31b4-ed27-4130-a4d1-1844f2c0559a,RV Pond,2022-06-08,Brandon Hoenig,,,284.0,35.777,,,50.68563
6f4b6963-3db7-4f99-9ba3-31687df5d589,2022-06-15 00:54:31 EDT,2022-06-15 23:42:32 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:04 EDT,2022-06-16 10:00:04 EDT,1,create,,,,41.63866,-80.4947517,POINT (-80.4947517 41.63866),029bdfde-abd3-4e50-adaf-356da1672b2c,Tuttle Pond,2022-06-14,Emily Jolly,,,274.6999816894531,13.1,,,181.0
6c6c44e0-d829-4ebd-a93a-e4455911db4f,2022-06-15 23:42:45 EDT,2022-06-16 00:41:28 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:05 EDT,2022-06-16 10:00:05 EDT,1,create,,,,41.6384917,-80.4941883,POINT (-80.4941883 41.6384917),029bdfde-abd3-4e50-adaf-356da1672b2c,Tuttle Pond,2022-06-15,Brandon Hoenig,,,275.5,11.8,,,0.0
35459c4d-084b-45e2-b535-bec961964109,2022-06-14 23:34:19 EDT,2022-06-16 10:00:14 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:29 EDT,2022-06-16 10:00:29 EDT,1,create,,,,41.638495,-80.4947767,POINT (-80.4947767 41.638495),4ab8a759-ccce-469e-a910-74d002897e86,Tuttle Pond,2022-06-14,Brandon Hoenig,,,301.0,10.8,,,0.0
b82ef658-6da6-49f1-bc68-1db0d1a83705,2022-06-15 23:44:06 EDT,2022-06-16 00:03:30 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:30 EDT,2022-06-16 10:00:30 EDT,1,create,,,,41.6386194,-80.4951636,POINT (-80.4951636 41.6386194),4ab8a759-ccce-469e-a910-74d002897e86,Tuttle Pond,2022-06-15,Emily Jolly,,,367.1,7.2,,,256.12454
126062c3-8e1c-4a2f-ac5e-c97484ac4dd5,2022-06-16 11:54:53 EDT,2022-06-16 11:59:03 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 11:59:11 EDT,2022-06-16 11:59:11 EDT,1,create,,,,41.6428601,-80.4274537,POINT (-80.4274537 41.6428601),ba02d8d7-7637-450c-8eba-508a5ba53e9c,Tuttle Pond,2022-06-16,Emily Jolly,,,287.0,20.0,,,247.26527
35459c4d-084b-45e2-b535-bec961964109,2022-06-14 23:34:19 EDT,2022-06-22 09:18:47 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:29 EDT,2022-06-22 14:18:56 EDT,2,update,,,,41.638495,-80.4947767,POINT (-80.4947767 41.638495),f80a9e9c-186b-422b-9926-518c1859885e,Tuttle Pond,2022-06-14,Brandon Hoenig,,,301.0,10.8,,,0.0
b82ef658-6da6-49f1-bc68-1db0d1a83705,2022-06-15 23:44:06 EDT,2022-06-22 09:19:41 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:30 EDT,2022-06-22 14:18:57 EDT,2,update,,,,41.6386194,-80.4951636,POINT (-80.4951636 41.6386194),f80a9e9c-186b-422b-9926-518c1859885e,Tuttle Pond,2022-06-15,Emily Jolly,,,367.1,7.2,,,256.12454
126062c3-8e1c-4a2f-ac5e-c97484ac4dd5,2022-06-16 11:54:53 EDT,2022-06-22 09:19:42 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 11:59:11 EDT,2022-06-22 14:18:58 EDT,2,update,,,,41.6428601,-80.4274537,POINT (-80.4274537 41.6428601),f80a9e9c-186b-422b-9926-518c1859885e,Tuttle Pond,2022-06-16,Emily Jolly,,,287.0,20.0,,,247.26527
6f4b6963-3db7-4f99-9ba3-31687df5d589,2022-06-15 00:54:31 EDT,2022-06-22 09:19:44 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:04 EDT,2022-06-22 14:18:58 EDT,2,update,,,,41.63866,-80.4947517,POINT (-80.4947517 41.63866),f80a9e9c-186b-422b-9926-518c1859885e,Tuttle Pond,2022-06-14,Emily Jolly,,,274.6999816894531,13.1,,,181.0
6c6c44e0-d829-4ebd-a93a-e4455911db4f,2022-06-15 23:42:45 EDT,2022-06-22 11:07:26 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 10:00:05 EDT,2022-06-22 14:18:59 EDT,2,update,,,,41.6384917,-80.4941883,POINT (-80.4941883 41.6384917),f80a9e9c-186b-422b-9926-518c1859885e,Tuttle Pond,2022-06-15,Brandon Hoenig,,,275.5,11.8,,,0.0
8d311105-b915-4fe3-840f-0297ab7003dd,2022-06-22 12:28:04 EDT,2022-06-22 21:30:25 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-22 21:30:33 EDT,2022-06-22 21:30:33 EDT,1,create,,,,41.5951833,-80.3521867,POINT (-80.3521867 41.5951833),ecb3cc7a-5435-4b08-943c-61a041917301,Tryon-Weber,2022-06-22,Brandon Hoenig,,,330.79998779296875,13.5,,,
dafc8d8c-039a-48a2-b340-b2e8f9bdf16d,2022-06-23 12:57:38 EDT,2022-06-23 21:24:01 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-23 21:24:04 EDT,2022-06-23 21:24:04 EDT,1,create,,,,41.59253184708735,-80.35678020857875,POINT (-80.35678020857875 41.59253184708735),b178e1ed-b593-4b48-9b23-acf230986f4a,Tryon-Weber,2022-06-23,Emily Jolly,,,359.1278416868299,35.747190385068954,24.338623692776665,0.41509321331977844,-1.0
c61de78b-232b-4de7-adc8-3498d141ea74,2022-06-23 12:36:46 EDT,2022-06-23 13:11:34 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-24 11:31:36 EDT,2022-06-24 11:31:36 EDT,1,create,,,,41.59204,-80.3568017,POINT (-80.3568017 41.59204),fff6a3d5-1688-4084-9752-dd8a493909f5,Tryon-Weber,2022-06-23,Emily Jolly,,,329.7,12.8,,,0.0
730e37fe-a68e-42b9-8aa8-97c47eceb579,2022-06-23 22:26:30 EDT,2022-06-24 11:31:28 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-24 11:31:37 EDT,2022-06-24 11:31:37 EDT,1,create,,,,41.59257,-80.35755,POINT (-80.35755 41.59257),fff6a3d5-1688-4084-9752-dd8a493909f5,Tryon-Weber,2022-06-23,Brandon Hoenig,,,342.3,8.8,,,204.0
d6bdf081-379b-4b0a-b37d-e15b8d183f95,2022-06-28 00:06:22 EDT,2022-06-28 23:57:06 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-29 12:38:18 EDT,2022-06-29 12:38:18 EDT,1,create,,,,41.71245,-80.3915017,POINT (-80.3915017 41.71245),cda73477-19c3-47fa-af37-da1a08e9d8fe,Vorisek Pond,2022-06-27,Brandon Hoenig,,,323.2,12.3,,,66.0
7ab12e7b-4cbc-42cb-811e-dd478a1be99e,2022-06-28 23:15:19 EDT,2022-06-28 23:57:16 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-29 12:38:19 EDT,2022-06-29 12:38:19 EDT,1,create,,,,41.7123285,-80.3914507,POINT (-80.3914507 41.7123285),cda73477-19c3-47fa-af37-da1a08e9d8fe,Vorisek Pond,2022-06-28,Brandon Hoenig,,,330.6,12.775,,,204.8614
1f57feb3-7039-4a29-86ac-09f9b0baa008,2022-07-12 00:18:11 EDT,2022-07-12 02:41:46 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-07-12 14:42:52 EDT,2022-07-12 14:42:52 EDT,1,create,,,,41.6918606,-80.4997713,POINT (-80.4997713 41.6918606),a4659d73-db74-4aeb-910d-06cb010b2d7d,RV Pond,2022-07-11,Brandon Hoenig,,,287.4,2.7,,,261.92612
51e01469-2ddc-4231-904c-6e3a1fec5086,2022-07-13 00:13:58 EDT,2022-07-13 01:49:40 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-07-14 11:10:19 EDT,2022-07-14 11:10:19 EDT,1,create,,,,41.691745,-80.4999983,POINT (-80.4999983 41.691745),41983073-29f5-4db6-90de-528df9782b0c,RV Pond,2022-07-12,Brandon Hoenig,,,277.8,11.2,,,220.0
6fe7e16b-008b-4e1a-9985-b452d3b22abc,2022-07-18 23:42:14 EDT,2022-07-19 22:13:04 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-07-20 00:15:48 EDT,2022-07-20 00:15:48 EDT,1,create,,,,41.6384333,-80.4947617,POINT (-80.4947617 41.6384333),261472f6-60f0-4704-83c5-5392ba8d6ad5,Tuttle Pond,2022-07-18,Brandon Hoenig,,,281.5,2.3,,,0.0
b84e00e8-e544-4061-b16c-444f392adc16,2022-07-19 22:13:08 EDT,2022-07-20 00:15:30 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-07-20 00:15:50 EDT,2022-07-20 00:15:50 EDT,1,create,,,,41.6384586,-80.4945399,POINT (-80.4945399 41.6384586),261472f6-60f0-4704-83c5-5392ba8d6ad5,Tuttle Pond,2022-07-19,,Rachel Verdi,,267.5,11.0,,,186.72328
