fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,bag_id,species_capture,species_capture_other,capture_type,capture_type_other,capture_mark_recapture,time_of_capture,body_temperature,microhabitat_type,microhabitat_temperature,life_stage,life_stage_other,sex,sex_other,snout_vent_length,body_and_bag_mass,bag_mass,body_mass,collected_toe_clip,toe_clip_tube_id,toe_clip_tube_id_other,collected_bd_swab,bd_swab_tube_id,collected_bacterial_swab,bacterial_swab_tube_id,collected_mucus_sample,mucusome_id,norep_dose_135mgml,norep_dose_0675mgml,norep_bathvolume_50ml_acid_1ml,norep_bathvolume_100ml_acid_2ml,norep_bathvolume_200ml_acid_4ml,ul_of_norep_135mgml,ul_of_norep_0675mgml,photo_ventral,photo_ventral_caption,photo_ventral_url,photo_dorsal,photo_dorsal_caption,photo_dorsal_url,capture_comments
68475439-ba59-48ec-aa10-1b79e7912c0e,4283096b-b956-4501-974c-3bd729831d91,4283096b-b956-4501-974c-3bd729831d91,4,41.56907,-80.456265,POINT (-80.456265 41.56907),2022-05-05 03:30:50 UTC,2022-05-05 03:58:12 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Pseudacris crucifer,,New,,,22:50,10.9,Leaf litter,10.9,Adult,,Male,,29,7.6,6,1.5999999999999996,,,,yes,,,,,,,,,,,,,1bedd08f-4828-491d-9aa1-d2de307c50f0,,https://web.fulcrumapp.com/photos/view?photos=1bedd08f-4828-491d-9aa1-d2de307c50f0,4579014d-8e91-47db-b55c-748d085b1147,,https://web.fulcrumapp.com/photos/view?photos=4579014d-8e91-47db-b55c-748d085b1147,2022-05-04-wood-pscr1
5841098e-d705-4fc3-a8ff-db12ef599788,4283096b-b956-4501-974c-3bd729831d91,4283096b-b956-4501-974c-3bd729831d91,4,41.569795,-80.4556633,POINT (-80.4556633 41.569795),2022-05-05 03:40:34 UTC,2022-05-05 04:03:10 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana catesbeiana,,New,,,22:35,,Water,13.5,Juvenile,,,Juvenile,50.9,21.9,8.8,13.099999999999998,,,,yes,,,,,,,,,,,,,aafa0bcd-2ba0-40f6-8720-9d076f7d929f,,https://web.fulcrumapp.com/photos/view?photos=aafa0bcd-2ba0-40f6-8720-9d076f7d929f,4d007f82-74df-4d1e-8040-5ee20cb75100,,https://web.fulcrumapp.com/photos/view?photos=4d007f82-74df-4d1e-8040-5ee20cb75100,2022-05-04 wood racl #2
88b7d831-d803-42c1-8f94-804c1c9cdae2,4283096b-b956-4501-974c-3bd729831d91,4283096b-b956-4501-974c-3bd729831d91,4,41.5697383,-80.4558683,POINT (-80.4558683 41.5697383),2022-05-05 03:50:46 UTC,2022-05-05 03:56:52 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Pseudacris crucifer,,New,,,22:14,,Tree/Log/Bush (Lower than 1m),11.8,Adult,,Male,,27.3,7.4,6,1.4000000000000004,,,,yes,,,,,,,,,,,,,b947f3ec-5a09-466b-9896-650ec65cc669,,https://web.fulcrumapp.com/photos/view?photos=b947f3ec-5a09-466b-9896-650ec65cc669,712287a5-8cee-44d2-9879-bf9b28205530,,https://web.fulcrumapp.com/photos/view?photos=712287a5-8cee-44d2-9879-bf9b28205530,2022-05-04 wood pscr #3
49c45843-77b8-4557-a2e7-ff09fa88efbe,4283096b-b956-4501-974c-3bd729831d91,4283096b-b956-4501-974c-3bd729831d91,4,41.5696483,-80.4558817,POINT (-80.4558817 41.5696483),2022-05-05 04:03:25 UTC,2022-05-05 04:09:03 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana catesbeiana,,New,,,10:08,,Water,,Juvenile,,,juvenile,46.1,17.5,7.4,10.1,,,,yes,,,,,,,,,,,,,cd649670-5c2a-455a-85c9-2a2274e2d4f8,,https://web.fulcrumapp.com/photos/view?photos=cd649670-5c2a-455a-85c9-2a2274e2d4f8,26942977-e416-424b-bafe-197e58165293,,https://web.fulcrumapp.com/photos/view?photos=26942977-e416-424b-bafe-197e58165293,2022-05-04 wood raca #4
36ae0e88-b6e0-4d74-9f63-a63cd4341799,4283096b-b956-4501-974c-3bd729831d91,4283096b-b956-4501-974c-3bd729831d91,4,41.5695458,-80.4556771,POINT (-80.4556771 41.5695458),2022-05-05 04:09:20 UTC,2022-05-05 04:16:27 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana clamitans,,,,,21:35,,Water,12.9,Juvenile,,,juvenile,42.1,14.9,10,4.9,,,,yes,,,,,,,,,,,,,33d31718-4b9b-4c9c-ac7f-829f7ac050e9,,https://web.fulcrumapp.com/photos/view?photos=33d31718-4b9b-4c9c-ac7f-829f7ac050e9,7d6627d3-70d1-479b-8f11-de5df855d75a,,https://web.fulcrumapp.com/photos/view?photos=7d6627d3-70d1-479b-8f11-de5df855d75a,2022-05-04 wood racl #5
4933a997-f8c6-4bd7-9c3a-29a4a28bfaa5,81918035-8727-4979-ae70-dd9eb29b3676,81918035-8727-4979-ae70-dd9eb29b3676,2,41.5696535,-80.45593,POINT (-80.45593 41.5696535),2022-05-06 03:11:57 UTC,2022-05-06 03:20:06 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana catesbeiana,,New,,,22:09,,Emergent Vegetation (Lower than 1m),,Adult,,Female,,53.9,19.5,7.2,12.3,,,,yes,,,,,,,,,,,,,fddbf1fd-cbcd-41db-b129-7b334d897d72,,https://web.fulcrumapp.com/photos/view?photos=fddbf1fd-cbcd-41db-b129-7b334d897d72,2c5fffb5-a291-4153-8929-e9bbe038d2f0,,https://web.fulcrumapp.com/photos/view?photos=2c5fffb5-a291-4153-8929-e9bbe038d2f0,2022-05-05 Phelps raca #1
1c8965b5-0bf7-45c5-9cab-2f9a4d83584b,81918035-8727-4979-ae70-dd9eb29b3676,81918035-8727-4979-ae70-dd9eb29b3676,2,41.5696375,-80.4557472,POINT (-80.4557472 41.5696375),2022-05-06 03:20:19 UTC,2022-05-06 04:47:38 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana catesbeiana,,New,,,08:49,16.8,Water,16.8,Adult,,Female,,135.9,,,,,,,yes,,,,,,,,,,,,,ca335a77-576b-4377-8453-fb21ac079124,,https://web.fulcrumapp.com/photos/view?photos=ca335a77-576b-4377-8453-fb21ac079124,8f015e27-7d3e-46bc-b22e-41d5894b8006,,https://web.fulcrumapp.com/photos/view?photos=8f015e27-7d3e-46bc-b22e-41d5894b8006,"2022-05-05 Phelps raca #15; probably greater than 100 grams, no scale available"
143297fb-eecd-4c0d-a6cd-8d202c394cf5,81918035-8727-4979-ae70-dd9eb29b3676,81918035-8727-4979-ae70-dd9eb29b3676,2,41.5698915,-80.4557378,POINT (-80.4557378 41.5698915),2022-05-06 03:28:19 UTC,2022-05-06 03:33:31 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana clamitans,,,,,21:53,,Water,14,Adult,,Female,,74.6,49.5,10,39.5,,,,yes,,,,,,,,,,,,,3434d816-7de4-44bd-b2b1-c8bb17349f63,,https://web.fulcrumapp.com/photos/view?photos=3434d816-7de4-44bd-b2b1-c8bb17349f63,1a6989df-830c-4be8-b8e3-a4279d660c4e,,https://web.fulcrumapp.com/photos/view?photos=1a6989df-830c-4be8-b8e3-a4279d660c4e,2022-05-05 Phelps racl #2
e6f58b1b-ec12-44e8-96b7-fc7b0dd89f88,81918035-8727-4979-ae70-dd9eb29b3676,81918035-8727-4979-ae70-dd9eb29b3676,2,41.5696538,-80.4559291,POINT (-80.4559291 41.5696538),2022-05-06 03:34:08 UTC,2022-05-06 03:39:02 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana clamitans,,,,,21:41,,Water,14.4,Adult,,Female,,65.5,30,8.3,21.7,,,,,,,,,,,,,,,,,bd4ac01c-6a4b-4ac0-ad58-90200c72a6a8,,https://web.fulcrumapp.com/photos/view?photos=bd4ac01c-6a4b-4ac0-ad58-90200c72a6a8,9e8421e2-b201-4a18-aa13-5191b9315feb,,https://web.fulcrumapp.com/photos/view?photos=9e8421e2-b201-4a18-aa13-5191b9315feb,2022-05-05 Phelps racl #3
4bac144c-bad4-420c-be16-8224d1deba01,81918035-8727-4979-ae70-dd9eb29b3676,81918035-8727-4979-ae70-dd9eb29b3676,2,41.5696534,-80.45593,POINT (-80.45593 41.5696534),2022-05-06 03:39:31 UTC,2022-05-06 03:44:19 UTC,bdh64@pitt.edu,bdh64@pitt.edu,,Rana clamitans,,,,,21:37,,Water,15.1,,,Female,,53.8,19.5,7.3,12.2,,,,yes,,,,,,,,,,,,,4daf7873-8418-49a5-83c0-853ddd7343ee,,https://web.fulcrumapp.com/photos/view?photos=4daf7873-8418-49a5-83c0-853ddd7343ee,d9510b62-09a2-4f52-9683-e72241d39f01,,https://web.fulcrumapp.com/photos/view?photos=d9510b62-09a2-4f52-9683-e72241d39f01,2022-05-05 Phelps racl #4
