fulcrum_id,fulcrum_parent_id,fulcrum_record_id,fulcrum_record_version,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,species_acoustic,call_index,acoustic_comments
783fdfe3-2754-4467-981a-f26a01535759,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,1,1,41.5682357305222,-80.45147946834471,POINT (-80.45147946834471 41.5682357305222),2022-05-26 20:53:41 EDT,2022-05-26 20:54:00 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Unknown,"1 - Individuals can be counted, space between calls",Small croak as it entered water. 
8fdd8012-5435-480b-b8ba-2fe4a647d4fb,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,1,1,41.56822356630781,-80.45156662587893,POINT (-80.45156662587893 41.56822356630781),2022-05-26 20:54:42 EDT,2022-05-26 20:55:47 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,"1 - Individuals can be counted, space between calls",Small croak 
c9215298-e012-4752-a81a-184d5fa41891,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,1,1,41.5681303,-80.4513668,POINT (-80.4513668 41.5681303),2022-05-27 20:39:12 EDT,2022-05-27 20:39:27 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana catesbeiana,0 - Species visible but no vocalization,
41175d1e-6661-44b9-b1db-965f97d27f99,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,1,1,41.5681111,-80.4513641,POINT (-80.4513641 41.5681111),2022-05-27 20:39:28 EDT,2022-05-27 20:39:35 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,0 - Species visible but no vocalization,
c9215298-e012-4752-a81a-184d5fa41891,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,2,1,41.5681303,-80.4513668,POINT (-80.4513668 41.5681303),2022-05-27 20:39:12 EDT,2022-05-27 20:39:27 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana catesbeiana,0 - Species visible but no vocalization,
41175d1e-6661-44b9-b1db-965f97d27f99,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,2,1,41.5681111,-80.4513641,POINT (-80.4513641 41.5681111),2022-05-27 20:39:28 EDT,2022-05-27 20:39:35 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,0 - Species visible but no vocalization,
88080309-72bd-431d-908b-7bcc2a749edd,814e9e84-a643-4d9b-8932-8883b1b89977,814e9e84-a643-4d9b-8932-8883b1b89977,1,1,41.69108829626036,-80.51265171337421,POINT (-80.51265171337421 41.69108829626036),2022-06-03 20:44:34 EDT,2022-06-03 20:45:03 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,"1 - Individuals can be counted, space between calls",
c4ed235e-7c76-4faf-a713-6206d4bdd01f,814e9e84-a643-4d9b-8932-8883b1b89977,814e9e84-a643-4d9b-8932-8883b1b89977,1,1,41.69104013496887,-80.51258570994764,POINT (-80.51258570994764 41.69104013496887),2022-06-03 20:45:04 EDT,2022-06-03 20:48:08 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Unknown,"1 - Individuals can be counted, space between calls",Squirrelly call. Sounds like a smaller amphibian.  Possible Leonora frog? 
026a6c6f-6135-4d29-b147-fc55fc5f334a,faba6935-0010-4b45-92e5-efdbd99ad514,faba6935-0010-4b45-92e5-efdbd99ad514,1,1,41.692061758435315,-80.50066494113632,POINT (-80.50066494113632 41.692061758435315),2022-06-08 21:00:26 EDT,2022-06-08 21:01:39 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Hyla versicolor,"3 - Full chorus, calls are constant and overlapping",
6cdba486-80e7-44b0-b1b0-22fc47f62252,faba6935-0010-4b45-92e5-efdbd99ad514,faba6935-0010-4b45-92e5-efdbd99ad514,1,1,41.692060897800786,-80.50062736418487,POINT (-80.50062736418487 41.692060897800786),2022-06-08 21:00:39 EDT,2022-06-08 21:00:54 EDT,bdh64@pitt.edu,bdh64@pitt.edu,Rana catesbeiana,"1 - Individuals can be counted, space between calls",
