fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,location,species,capture_date,cmr_id,cmr_id_other
dff652e3-3d5a-4f8e-9ac3-825f7a3b0727,2022-05-18 23:21:04 UTC,2022-05-18 23:21:10 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-19 21:40:29 UTC,2022-05-19 21:40:29 UTC,1,,,,41.621667920073655,-80.45493861810469,POINT (-80.45493861810469 41.621667920073655),Admin Pond,Rana catesbeiana,2022-05-18,A2,
a28a0a3f-9ded-4d9e-a94b-e193f55322b7,2022-05-19 03:38:45 UTC,2022-05-19 03:44:47 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:19 UTC,2022-05-20 00:00:19 UTC,1,,,,41.6419047,-80.427984,POINT (-80.427984 41.6419047),Admin Pond,Rana catesbeiana,2022-05-18,A2,
b8dab5e4-b042-46a0-8915-b4a2b5a7cc0b,2022-05-19 06:55:19 UTC,2022-05-19 07:03:05 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:20 UTC,2022-05-20 00:00:20 UTC,1,,,,41.642015,-80.4280501,POINT (-80.4280501 41.642015),Admin Pond,Rana catesbeiana,2022-05-18,A3,
d57d7e3a-13e8-420b-8225-605cdd83c87c,2022-05-19 07:03:56 UTC,2022-05-19 07:08:23 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:20 UTC,2022-05-20 00:00:20 UTC,1,,,,41.64193,-80.4280983,POINT (-80.4280983 41.64193),Admin Pond,Rana catesbeiana,2022-05-18,A4,
dd43bef5-85d3-4ccc-b614-4a86ce80b0c4,2022-05-19 07:09:20 UTC,2022-05-19 07:13:48 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:20 UTC,2022-05-20 00:00:20 UTC,1,,,,41.6418888,-80.4281148,POINT (-80.4281148 41.6418888),Admin Pond,Rana catesbeiana,2022-05-18,B2B3,
2ff33a28-b8b2-4bbe-9e47-b6e9e398ec10,2022-05-19 07:14:44 UTC,2022-05-19 07:16:48 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:21 UTC,2022-05-20 00:00:21 UTC,1,,,,41.6419767,-80.4281067,POINT (-80.4281067 41.6419767),Admin Pond,Rana catesbeiana,2022-05-18,B2,
49e58964-2321-4f44-b73c-e5175ae1b952,2022-05-19 07:16:57 UTC,2022-05-19 07:19:14 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:21 UTC,2022-05-20 00:00:21 UTC,1,,,,41.6419332,-80.4280603,POINT (-80.4280603 41.6419332),Admin Pond,Rana catesbeiana,2022-05-18,B3,
30dd0083-d964-449f-826c-06be424e5dcc,2022-05-19 07:20:37 UTC,2022-05-19 07:22:00 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:21 UTC,2022-05-20 00:00:21 UTC,1,,,,41.641997,-80.4279973,POINT (-80.4279973 41.641997),Admin Pond,Rana catesbeiana,2022-05-18,B4,
f45dd78d-7a41-453a-8e4d-9026756900cc,2022-05-19 07:23:16 UTC,2022-05-19 07:25:39 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:21 UTC,2022-05-20 00:00:21 UTC,1,,,,41.6419217,-80.4280052,POINT (-80.4280052 41.6419217),Admin Pond,Rana catesbeiana,2022-05-18,A2A3,
f5e9f600-3eac-4b65-9857-f80710fc8c49,2022-05-19 07:25:48 UTC,2022-05-19 07:29:30 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 00:00:22 UTC,2022-05-20 00:00:22 UTC,1,,,,41.6418822,-80.4279342,POINT (-80.4279342 41.6418822),Admin Pond,Rana catesbeiana,2022-05-18,A2A4,
