fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,bag_id,time_of_capture,body_temperature,microhabitat_type,microhabitat_temperature,bag_photo,bag_photo_caption,bag_photo_url
5211a4c3-3834-4452-8064-4b70f9413caf,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.642525344970494,-80.4293342990032,POINT (-80.4293342990032 41.642525344970494),2022-05-20 01:08:36 UTC,2022-05-20 01:11:29 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag30,21:08,18.2,Emergent Vegetation (Lower than 1m),18.4,f2f3dd03-71a2-448e-91bb-8c42ec59c4c1,,https://web.fulcrumapp.com/photos/view?photos=f2f3dd03-71a2-448e-91bb-8c42ec59c4c1
26fee85c-d4c1-489e-80bd-400907e9534b,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.642521711765596,-80.42881330824729,POINT (-80.42881330824729 41.642521711765596),2022-05-20 01:11:30 UTC,2022-05-20 01:12:02 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag29,21:11,18.2,Emergent Vegetation (Lower than 1m),18.2,e22e0c34-ac7c-4027-a950-4ad84d8a217d,,https://web.fulcrumapp.com/photos/view?photos=e22e0c34-ac7c-4027-a950-4ad84d8a217d
e24f8aa0-ef58-4e14-ad56-c5122d76c3f9,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.642428179510375,-80.42898409226919,POINT (-80.42898409226919 41.642428179510375),2022-05-20 01:18:15 UTC,2022-05-20 01:26:57 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag16,21:18,18.2,Tree/Log/Bush (Lower than 1m),18.2,16553888-75b0-452d-bf38-885f34809111,,https://web.fulcrumapp.com/photos/view?photos=16553888-75b0-452d-bf38-885f34809111
a0a8a4d1-ee01-43f3-a5ba-bc0c37fb1931,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.64189073158327,-80.4281196467393,POINT (-80.4281196467393 41.64189073158327),2022-05-20 01:34:21 UTC,2022-05-20 01:34:57 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag28,21:34,19.4,Water,19.7,5e3d058b-9aed-4204-90c0-5f7571358273,,https://web.fulcrumapp.com/photos/view?photos=5e3d058b-9aed-4204-90c0-5f7571358273
41a9ff8f-9446-4186-8994-874029a00563,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.64247030828389,-80.42897599950979,POINT (-80.42897599950979 41.64247030828389),2022-05-20 01:43:31 UTC,2022-05-20 01:44:06 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag27,21:43,20.1,Water,20.4,1f66b20b-3b9a-47e7-b60a-e5e06fa6ee35,,https://web.fulcrumapp.com/photos/view?photos=1f66b20b-3b9a-47e7-b60a-e5e06fa6ee35
62d9d770-0bb5-4e48-8bae-b86c42d47e44,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.64253975055409,-80.42899377673639,POINT (-80.42899377673639 41.64253975055409),2022-05-20 01:47:21 UTC,2022-05-20 01:47:56 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag06,21:47,18.6,Wet ground,18.8,2d6d1f37-af35-430b-bc14-0ce262d44f04,,https://web.fulcrumapp.com/photos/view?photos=2d6d1f37-af35-430b-bc14-0ce262d44f04
c13932b5-3ad9-4e60-8ae5-ef7806d0292f,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.64217051882185,-80.42891399699444,POINT (-80.42891399699444 41.64217051882185),2022-05-20 02:20:04 UTC,2022-05-20 02:20:34 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag18,22:20,19.4,Water,19.6,c30e398e-e9e5-48ee-a3c9-df9117df7392,,https://web.fulcrumapp.com/photos/view?photos=c30e398e-e9e5-48ee-a3c9-df9117df7392
a4b82347-03be-4db8-bdcb-20fa412048c5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.6425326154048,-80.42910988248886,POINT (-80.42910988248886 41.6425326154048),2022-05-20 02:40:52 UTC,2022-05-20 02:41:24 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag19,22:40,19.4,Water,19.7,6daf3070-03b7-4593-af5e-07f9f6bb00de,,https://web.fulcrumapp.com/photos/view?photos=6daf3070-03b7-4593-af5e-07f9f6bb00de
238e379f-ab25-4539-9e29-23c1803035f7,a71aec87-0564-48a0-bd5b-daa7b4564ed5,a71aec87-0564-48a0-bd5b-daa7b4564ed5,1,41.64233581577634,-80.42785265896595,POINT (-80.42785265896595 41.64233581577634),2022-05-20 02:57:53 UTC,2022-05-20 02:58:27 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag17,22:57,18.4,Water,18.6,8987abb6-ea9b-4d42-b33c-60e76136dfc6,,https://web.fulcrumapp.com/photos/view?photos=8987abb6-ea9b-4d42-b33c-60e76136dfc6
b15bc6da-32aa-4f36-bc35-786d7faf1dba,8322e922-3871-46bf-a73c-2fc4985876ba,8322e922-3871-46bf-a73c-2fc4985876ba,1,41.641968525985135,-80.42889084674458,POINT (-80.42889084674458 41.641968525985135),2022-05-20 01:03:04 UTC,2022-05-20 01:04:13 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Bag02,21:03,19.2,Water,18.8,fc60daf4-a867-4dae-ae86-cc5243476639,,https://web.fulcrumapp.com/photos/view?photos=fc60daf4-a867-4dae-ae86-cc5243476639
