fulcrum_id,fulcrum_parent_id,fulcrum_record_id,fulcrum_record_version,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,bag_id,species_capture,species_capture_other,capture_type,capture_type_other,capture_mark_recapture,life_stage,life_stage_other,sex,sex_other,snout_vent_length,body_and_bag_mass,bag_mass,body_mass,bd_swab_tube_id,dry_swab_tube_id,bacterial_swab_tube_id,crispr_swab_tube_id,mucusome_id,amp_id_1,amp_id_2,amp_id_3,amp_id_4,antibody_id_1,antibody_id_2,antibody_id_3,antibody_id_4,norep_bathvolume_50ml_acid_05ml,norep_bathvolume_100ml_acid_1ml,norep_bathvolume_200ml_acid_2ml,ul_of_norep_135mgml,ul_of_norep_0675mgml,ul_of_norep_03375mgml,toe_clip_tube_id,photo,photo_caption,photo_url,capture_comments
242c8ac8-7608-46fc-a4d3-694108e2812a,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428761,-80.4275334,POINT (-80.4275334 41.6428761),2022-06-08 20:36:04 UTC,2022-06-08 22:54:24 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG04,Rana catesbeiana,,New,,f4a2c8bb-c8b2-4a4f-b2dc-a1e52aad1eba,,,,,,,,,BdSwab000067,,BacSwab00067,,MucBath00015,AMPBath00016,AMPBath00017,AMPBath00000,AMPBath00000,AntiBod00016,AntiBod00017,,,,,,,,,ToeClip00014,,,,
bedb3db0-57f4-4a25-b192-4a7742037988,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428567,-80.4273567,POINT (-80.4273567 41.6428567),2022-06-08 20:39:00 UTC,2022-06-08 22:54:28 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG34,Rana catesbeiana,,New,,aadd5160-95f6-40e5-9f21-ebf1ecd2ee8d,,,,,,,,,BdSwab000068,,BacSwab00068,,MucBath00016,AMPBath00018,AMPBath00019,AMPBath00000,AMPBath00000,AntiBod00018,AntiBod00019,,,,,,,,,ToeClip00015,,,,
a87e476c-19ae-49bd-a731-5bfb275a475e,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428717,-80.4275284,POINT (-80.4275284 41.6428717),2022-06-08 20:40:57 UTC,2022-06-08 22:54:40 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG45,Rana catesbeiana,,New,,7596b49b-9cb9-4cfa-a576-d70769fba08f,,,,,,,,,BdSwab000069,,BacSwab00069,,MucBath00017,AMPBath00020,AMPBath00021,AMPBath00000,AMPBath00000,AntiBod00020,AntiBod00021,,,,,,,,,,,,,Notoe clip collected  appeared to already be cut 
b92f5a53-0ccd-43a9-808f-befa59965f5f,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.64287,-80.4275271,POINT (-80.4275271 41.64287),2022-06-08 20:41:59 UTC,2022-06-08 21:17:36 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG22,Hyla versicolor,,,,,,,,,,,,,BdSwab000070,,BacSwab00070,,MucBath00018,AMPBath00022,AMPBath00000,AMPBath00000,AMPBath00000,AntiBod00022,AntiBod00000,,,,,,,,,ToeClip00000,,,,
46afdb25-7145-465c-8da9-6e6bc08c0fe0,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428656,-80.4275328,POINT (-80.4275328 41.6428656),2022-06-08 20:44:08 UTC,2022-06-08 21:17:47 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG30,Hyla versicolor,,,,,,,,,,,,,BdSwab000071,,BacSwab00071,,MucBath00019,AMPBath00023,AMPBath00000,AMPBath00000,AMPBath00000,AntiBod00023,AntiBod00000,,,,,,,,,ToeClip00000,,,,
62e4f853-6584-49c8-b915-2f7f04b43932,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428684,-80.4275276,POINT (-80.4275276 41.6428684),2022-06-08 20:46:07 UTC,2022-06-08 21:18:09 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG21,Hyla versicolor,,,,,,,,,,,,,BdSwab000072,,BacSwab00072,,MucBath00020,AMPBath00024,AMPBath00000,AMPBath00000,AMPBath00000,AntiBod00024,AntiBod00000,,,,,,,,,ToeClip00000,,,,
bcb1e255-f01e-47be-a5e5-9065e94cbaaf,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428653,-80.4275332,POINT (-80.4275332 41.6428653),2022-06-08 20:48:32 UTC,2022-06-08 21:18:28 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG08,Rana clamitans,,,,,,,,,,,,,BdSwab000073,,BacSwab00073,,MucBath00021,AMPBath00026,AMPBath00000,AMPBath00000,AMPBath00000,AntiBod00026,AntiBod00000,,,,,,,,,ToeClip00000,,,,
43f61e91-f8e0-40ad-81d1-017fee66e9ee,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428661,-80.4275295,POINT (-80.4275295 41.6428661),2022-06-08 20:49:51 UTC,2022-06-08 21:40:49 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG10,Rana clamitans,,,,,,,,,,,,,BdSwab000074,,BacSwab00074,,MucBath00022,AMPBath00027,AMPBath00000,AMPBath00000,AMPBath00000,AntiBod00027,AntiBod00000,,,,,,,,,ToeClip00000,,,,
d6d75c65-0f41-437f-a3be-48daca1c3887,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428694,-80.4275322,POINT (-80.4275322 41.6428694),2022-06-08 21:09:04 UTC,2022-06-08 21:11:19 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG00,Negative Control,,,,,,,,,,,,,,,,,MucBath00027,,AMPBath00000,AMPBath00000,AMPBath00000,,AntiBod00000,,,,,,,,,ToeClip00000,,,,
1a482199-e531-4409-be3b-4c253ecdb755,0e6540d6-c4a0-4165-90b7-21787eb32f0c,0e6540d6-c4a0-4165-90b7-21787eb32f0c,1,1,41.6428755,-80.4275271,POINT (-80.4275271 41.6428755),2022-06-08 22:47:55 UTC,2022-06-08 22:54:52 UTC,bdh64@pitt.edu,bdh64@pitt.edu,BAG00,Rana catesbeiana,,New,,18cf979a-b3fa-433c-94e3-1d5522b8f42d,,,,,,,,,BdSwab000068,,BacSwab00068,,MucBath00016,AMPBath00018,AMPBath00019,AMPBath00000,AMPBath00000,AntiBod00018,AntiBod00019,,,,,,,,,ToeClip00016,,,,
