fulcrum_id,fulcrum_parent_id,fulcrum_record_id,fulcrum_record_version,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,species_acoustic,call_index,acoustic_comments
783fdfe3-2754-4467-981a-f26a01535759,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,1,1,41.5682357305222,-80.45147946834471,POINT (-80.45147946834471 41.5682357305222),2022-05-27 00:53:41 UTC,2022-05-27 00:54:00 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Unknown,"1 - Individuals can be counted, space between calls",Small croak as it entered water. 
8fdd8012-5435-480b-b8ba-2fe4a647d4fb,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,8ef7dd22-e2d7-4452-b1c6-a928de38c95b,1,1,41.56822356630781,-80.45156662587893,POINT (-80.45156662587893 41.56822356630781),2022-05-27 00:54:42 UTC,2022-05-27 00:55:47 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,"1 - Individuals can be counted, space between calls",Small croak 
c9215298-e012-4752-a81a-184d5fa41891,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,1,1,41.5681303,-80.4513668,POINT (-80.4513668 41.5681303),2022-05-28 00:39:12 UTC,2022-05-28 00:39:27 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana catesbeiana,0 - Species visible but no vocalization,
41175d1e-6661-44b9-b1db-965f97d27f99,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,1,1,41.5681111,-80.4513641,POINT (-80.4513641 41.5681111),2022-05-28 00:39:28 UTC,2022-05-28 00:39:35 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,0 - Species visible but no vocalization,
c9215298-e012-4752-a81a-184d5fa41891,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,2,1,41.5681303,-80.4513668,POINT (-80.4513668 41.5681303),2022-05-28 00:39:12 UTC,2022-05-28 00:39:27 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana catesbeiana,0 - Species visible but no vocalization,
41175d1e-6661-44b9-b1db-965f97d27f99,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,35f6ccd7-8a1a-4e7b-b275-30186f67c67c,2,1,41.5681111,-80.4513641,POINT (-80.4513641 41.5681111),2022-05-28 00:39:28 UTC,2022-05-28 00:39:35 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,0 - Species visible but no vocalization,
88080309-72bd-431d-908b-7bcc2a749edd,814e9e84-a643-4d9b-8932-8883b1b89977,814e9e84-a643-4d9b-8932-8883b1b89977,1,1,41.69108829626036,-80.51265171337421,POINT (-80.51265171337421 41.69108829626036),2022-06-04 00:44:34 UTC,2022-06-04 00:45:03 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,"1 - Individuals can be counted, space between calls",
c4ed235e-7c76-4faf-a713-6206d4bdd01f,814e9e84-a643-4d9b-8932-8883b1b89977,814e9e84-a643-4d9b-8932-8883b1b89977,1,1,41.69104013496887,-80.51258570994764,POINT (-80.51258570994764 41.69104013496887),2022-06-04 00:45:04 UTC,2022-06-04 00:48:08 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Unknown,"1 - Individuals can be counted, space between calls",Squirrelly call. Sounds like a smaller amphibian.  Possible Leonora frog? 
026a6c6f-6135-4d29-b147-fc55fc5f334a,faba6935-0010-4b45-92e5-efdbd99ad514,faba6935-0010-4b45-92e5-efdbd99ad514,1,1,41.692061758435315,-80.50066494113632,POINT (-80.50066494113632 41.692061758435315),2022-06-09 01:00:26 UTC,2022-06-09 01:01:39 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Hyla versicolor,"3 - Full chorus, calls are constant and overlapping",
6cdba486-80e7-44b0-b1b0-22fc47f62252,faba6935-0010-4b45-92e5-efdbd99ad514,faba6935-0010-4b45-92e5-efdbd99ad514,1,1,41.692060897800786,-80.50062736418487,POINT (-80.50062736418487 41.692060897800786),2022-06-09 01:00:39 UTC,2022-06-09 01:00:54 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana catesbeiana,"1 - Individuals can be counted, space between calls",
6928093e-a3f1-4c73-adf9-7a96916bec40,faba6935-0010-4b45-92e5-efdbd99ad514,faba6935-0010-4b45-92e5-efdbd99ad514,1,1,41.692063928206316,-80.5006457762158,POINT (-80.5006457762158 41.692063928206316),2022-06-09 01:00:56 UTC,2022-06-09 01:01:07 UTC,bdh64@pitt.edu,bdh64@pitt.edu,Rana clamitans,"1 - Individuals can be counted, space between calls",
