fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,change_type,status,project,assigned_to,latitude,longitude,geometry,location,species,capture_date,cmr_id,cmr_id_other,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
df3838e6-814c-4c39-92f5-483b75950e99,2022-05-04 13:20:17 EDT,2022-05-04 13:20:47 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:24:12 EDT,2022-05-04 13:24:12 EDT,1,create,,,,41.62196009788368,-80.45434272000684,POINT (-80.45434272000684 41.62196009788368),,,2022-05-04,,,310.81839137058705,5.4490318389571115,2.783806640326813,0.26542869976435124,-1.0
09ac9d5e-d6f3-40ef-90fc-415c42b79035,2022-05-04 13:29:07 EDT,2022-05-04 13:29:16 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:31:53 EDT,2022-05-04 13:31:53 EDT,1,create,,,,41.6219496637869,-80.4545879044989,POINT (-80.4545879044989 41.6219496637869),,,2022-05-04,,,314.15130615234375,35.0,3.479907274246216,-1.0,-1.0
09ac9d5e-d6f3-40ef-90fc-415c42b79035,2022-05-04 13:29:07 EDT,2022-05-04 13:29:16 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:31:53 EDT,2022-05-04 13:33:10 EDT,2,delete,,,,41.6219496637869,-80.4545879044989,POINT (-80.4545879044989 41.6219496637869),,,2022-05-04,,,314.15130615234375,35.0,3.479907274246216,-1.0,-1.0
df3838e6-814c-4c39-92f5-483b75950e99,2022-05-04 13:20:17 EDT,2022-05-04 13:20:47 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:24:12 EDT,2022-05-04 13:33:13 EDT,2,delete,,,,41.62196009788368,-80.45434272000684,POINT (-80.45434272000684 41.62196009788368),,,2022-05-04,,,310.81839137058705,5.4490318389571115,2.783806640326813,0.26542869976435124,-1.0
63f99fee-b084-4156-94cc-d1bc21ca8f84,2022-05-04 13:37:31 EDT,2022-05-04 13:37:52 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:39:20 EDT,2022-05-04 13:39:20 EDT,1,create,,,,41.62193519186799,-80.45435674693576,POINT (-80.45435674693576 41.62193519186799),,,2022-05-04,,,310.5344137074426,5.1499375644311485,2.7023471492851945,0.0,254.89816228445767
bcbe47cf-4258-4fea-8262-d40875463aed,2022-05-04 13:38:23 EDT,2022-05-04 13:38:30 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:39:21 EDT,2022-05-04 13:39:21 EDT,1,create,,,,41.6219614961827,-80.45429151634359,POINT (-80.45429151634359 41.6219614961827),,,2022-05-04,,,310.98685583192855,5.653636110805964,2.4575919888790376,0.0,265.20721904193
c1dbb01a-7812-4964-b4cb-3c37559f62ee,2022-05-04 13:38:58 EDT,2022-05-04 13:39:02 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:39:21 EDT,2022-05-04 13:39:21 EDT,1,create,,,,41.62194060301011,-80.45436963688553,POINT (-80.45436963688553 41.62194060301011),,,2022-05-04,,,310.71993004065007,6.280479350677353,2.0225159895978777,0.0,72.40317103210067
acce3415-fa63-47c9-a110-ffd9c4a5b1a4,2022-05-04 13:40:43 EDT,2022-05-04 13:40:47 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:41:43 EDT,2022-05-04 13:41:43 EDT,1,create,,,,41.621956211441585,-80.45426912181306,POINT (-80.45426912181306 41.621956211441585),,,2022-05-04,,,310.88335828017443,4.994751804475565,2.9794280398218915,0.0,226.55219523366495
caf3adf6-31e6-44fe-a658-f417350dd810,2022-05-04 13:41:20 EDT,2022-05-04 13:41:25 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:41:44 EDT,2022-05-04 13:41:44 EDT,1,create,,,,41.62197337847666,-80.45420189716418,POINT (-80.45420189716418 41.62197337847666),,,2022-05-04,,,310.90414254553616,5.063408345946129,2.8611943231790327,0.0,-1.0
caf3adf6-31e6-44fe-a658-f417350dd810,2022-05-04 13:41:20 EDT,2022-05-04 13:41:25 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:41:44 EDT,2022-05-04 13:46:19 EDT,2,delete,,,,41.62197337847666,-80.45420189716418,POINT (-80.45420189716418 41.62197337847666),,,2022-05-04,,,310.90414254553616,5.063408345946129,2.8611943231790327,0.0,-1.0
63f99fee-b084-4156-94cc-d1bc21ca8f84,2022-05-04 13:37:31 EDT,2022-05-04 13:37:52 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:39:20 EDT,2022-05-04 13:46:23 EDT,2,delete,,,,41.62193519186799,-80.45435674693576,POINT (-80.45435674693576 41.62193519186799),,,2022-05-04,,,310.5344137074426,5.1499375644311485,2.7023471492851945,0.0,254.89816228445767
bcbe47cf-4258-4fea-8262-d40875463aed,2022-05-04 13:38:23 EDT,2022-05-04 13:38:30 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:39:21 EDT,2022-05-04 13:46:25 EDT,2,delete,,,,41.6219614961827,-80.45429151634359,POINT (-80.45429151634359 41.6219614961827),,,2022-05-04,,,310.98685583192855,5.653636110805964,2.4575919888790376,0.0,265.20721904193
c1dbb01a-7812-4964-b4cb-3c37559f62ee,2022-05-04 13:38:58 EDT,2022-05-04 13:39:02 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:39:21 EDT,2022-05-04 13:46:28 EDT,2,delete,,,,41.62194060301011,-80.45436963688553,POINT (-80.45436963688553 41.62194060301011),,,2022-05-04,,,310.71993004065007,6.280479350677353,2.0225159895978777,0.0,72.40317103210067
acce3415-fa63-47c9-a110-ffd9c4a5b1a4,2022-05-04 13:40:43 EDT,2022-05-04 13:40:47 EDT,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 13:41:43 EDT,2022-05-04 13:46:31 EDT,2,delete,,,,41.621956211441585,-80.45426912181306,POINT (-80.45426912181306 41.621956211441585),,,2022-05-04,,,310.88335828017443,4.994751804475565,2.9794280398218915,0.0,226.55219523366495
